batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
8,8192,8192,16,8,h100,114,57,8,14592,456,80,50,2000,0,0.04672441444396973,attn
64,8192,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,1.6644927246093748,attn
128,4096,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,16384,2048,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.25715646362304684,attn
64,512,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.0031966480135917656,attn
128,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,4096,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.3302350067138672,attn
32,8192,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,1.057641619873047,attn
32,2048,4096,64,1,h100,114,57,8,14592,456,80,50,2000,0,0.08218301239013673,attn
64,16384,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,4096,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.2814864929199218,attn
64,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.8248983947753905,attn
32,8192,16384,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.8808268707275391,attn
128,8192,2048,8,8,h100,114,57,8,14592,456,80,50,2000,0,0.14024392547607423,attn
64,2048,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.09745461235046388,attn
8,16384,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.6503268615722657,attn
1,2048,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.0021132384181022637,attn
64,16384,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.9389518524169922,attn
128,4096,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.9841807800292969,attn
32,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.3462318572998047,attn
64,8192,1024,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.24931307067871095,attn
128,8192,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,2048,8192,16,2,h100,114,57,8,14592,456,80,50,2000,0,0.21035326232910162,attn
32,16384,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.7054851440429688,attn
16,4096,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.06004093894958497,attn
64,8192,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.36619750518798827,attn
128,1024,2048,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.023018478488922123,attn
64,16384,16384,16,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,4096,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.25960071487426756,attn
128,16384,4096,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.9554918243408203,attn
16,8192,4096,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.09144320945739746,attn
16,8192,8192,32,2,h100,114,57,8,14592,456,80,50,2000,0,0.37928298492431645,attn
64,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,0.8296802001953125,attn
128,4096,2048,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.0781223602294922,attn
32,16384,16384,64,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,1024,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.040525323104858395,attn
128,16384,4096,64,8,h100,114,57,8,14592,456,80,50,2000,0,1.2434578918457029,attn
64,4096,16384,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.3392238510131836,attn
16,8192,4096,16,2,h100,114,57,8,14592,456,80,50,2000,0,0.1564115592956543,attn
32,2048,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.15747158050537108,attn
64,16384,4096,64,2,h100,114,57,8,14592,456,80,50,2000,0,2.5012159423828124,attn
128,8192,8192,8,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,4096,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.2871621200561523,attn
32,4096,2048,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.03383675365447998,attn
128,8192,16384,32,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,2048,8192,64,1,h100,114,57,8,14592,456,80,50,2000,0,0.4000289108276368,attn
1,16384,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.034751011276245115,attn
8,2048,4096,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.013101318359375,attn
64,16384,16384,16,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,8192,8192,64,2,h100,114,57,8,14592,456,80,50,2000,0,0.6812366668701173,attn
64,8192,16384,64,2,h100,114,57,8,14592,456,80,50,2000,0,,attn
128,8192,1024,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.49679820709228506,attn
64,2048,8192,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.046100635147094726,attn
32,16384,8192,128,4,h100,114,57,8,14592,456,80,50,2000,0,1.3589358337402344,attn
16,4096,8192,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.029960635280609133,attn
64,8192,8192,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.6776009918212892,attn
128,512,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.26289593582153314,attn
64,16384,2048,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.5996353271484375,attn
32,4096,4096,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.048163275337219244,attn
128,16384,8192,128,1,h100,114,57,8,14592,456,80,50,2000,0,,attn
64,8192,4096,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.27968185729980466,attn
8,8192,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,0.11692297325134278,attn
8,4096,8192,128,2,h100,114,57,8,14592,456,80,50,2000,0,0.07416885681152344,attn
64,16384,4096,32,8,h100,114,57,8,14592,456,80,50,2000,0,0.4721324172973632,attn
128,8192,16384,64,8,h100,114,57,8,14592,456,80,50,2000,0,,attn
32,8192,2048,64,4,h100,114,57,8,14592,456,80,50,2000,0,0.1385813377380371,attn
64,4096,8192,32,4,h100,114,57,8,14592,456,80,50,2000,0,0.2576486488342285,attn
128,8192,8192,128,8,h100,114,57,8,14592,456,80,50,2000,0,0.8162845520019533,attn
64,1024,2048,16,4,h100,114,57,8,14592,456,80,50,2000,0,0.005790985584259034,attn
16,16384,16384,128,2,h100,114,57,8,14592,456,80,50,2000,0,2.5600346801757814,attn
