batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel
4,2048,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.014081791925430298,attn
64,16384,4096,128,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.097659552001953,attn
32,4096,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.08492856254577638,attn
128,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,1024,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.04448276481628417,attn
16,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.35336396331787107,attn
16,512,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.0027984895944595336,attn
64,16384,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.34224911041259765,attn
32,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.9333715423583986,attn
64,8192,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.34738580780029293,attn
64,2048,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.07222681579589843,attn
2,16384,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.08547297248840333,attn
16,4096,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.08441589698791505,attn
64,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,1.0140804168701174,attn
128,2048,16384,128,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,16384,1024,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.18264565658569337,attn
32,4096,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.0868382724761963,attn
128,16384,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,8192,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.9273876495361326,attn
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3578315856933592,attn
32,4096,16384,128,2,a100,108,54,7,6912,432,40,40,1555,0,1.0570146911621092,attn
64,16384,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,,attn
128,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
32,8192,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.18574033966064454,attn
64,4096,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.14883148880004884,attn
128,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,,attn
64,2048,2048,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.011083929538726809,attn
16,16384,16384,128,1,a100,108,54,7,6912,432,40,40,1555,0,,attn
4,8192,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.011279411172866821,attn
64,8192,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,,attn
