batch,max_seq_length,n_embed,n_head,tensor_parallelism,gpu_name,sms,tpcs,gpcs,cuda_cores,tensor_cores,ram_gb,l2_cache_mb,mem_bw_gB_s,phase,runtime_s,kernel,seq_length
128,8192,8192,64,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.2341508087158203,attn,NA
32,4096,4096,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.03784668216705323,attn,NA
128,16384,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,2048,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.29368350677490235,attn,NA
32,16384,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.968395416259766,attn,NA
32,4096,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.10123970603942872,attn,NA
64,16384,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.924041473388672,attn,NA
32,8192,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,1.3570023986816404,attn,NA
64,4096,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.17614848022460938,attn,NA
128,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.923417446899414,attn,NA
64,1024,16384,16,2,a100,108,54,7,6912,432,40,40,1555,0,0.4308928039550781,attn,NA
8,16384,2048,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.15463828430175783,attn,NA
8,8192,16384,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.380462579345703,attn,NA
64,8192,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17548329086303713,attn,NA
128,2048,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.29705794830322263,attn,NA
64,16384,4096,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.5247550476074216,attn,NA
32,512,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.00483604478836059,attn,NA
128,16384,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17407662048339845,attn,NA
16,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.44859914703369136,attn,NA
16,4096,1024,8,4,a100,108,54,7,6912,432,40,40,1555,0,0.00635786242485046,attn,NA
64,8192,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,1024,8192,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.246206258392334,attn,NA
32,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.7098638336181641,attn,NA
64,4096,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.5259657287597655,attn,NA
128,16384,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.0954318908691407,attn,NA
4,8192,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,0.03184066553115845,attn,NA
16,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.03432396793365479,attn,NA
64,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,16384,32,8,a100,108,54,7,6912,432,40,40,1555,0,1.1351109680175782,attn,NA
64,8192,2048,128,1,a100,108,54,7,6912,432,40,40,1555,0,2.5392124145507817,attn,NA
32,8192,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.7366911529541016,attn,NA
128,8192,8192,16,8,a100,108,54,7,6912,432,40,40,1555,0,1.1187270080566407,attn,NA
64,4096,2048,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.09910502395629885,attn,NA
32,16384,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.25260349502563473,attn,NA
64,8192,8192,128,2,a100,108,54,7,6912,432,40,40,1555,0,2.256735437011719,attn,NA
128,4096,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,16384,2048,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.6511633422851562,attn,NA
64,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.13873950805664065,attn,NA
128,16384,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,4096,128,2,a100,108,54,7,6912,432,40,40,1555,0,0.43187850799560545,attn,NA
16,8192,16384,8,8,a100,108,54,7,6912,432,40,40,1555,0,0.3937359344482422,attn,NA
2,2048,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.00350044159889221,attn,NA
64,16384,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,8192,16,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.0966433349609377,attn,NA
32,4096,16384,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.5083817443847656,attn,NA
128,8192,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.42132356872558585,attn,NA
64,512,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.01466521606445312,attn,NA
16,16384,4096,64,1,a100,108,54,7,6912,432,40,40,1555,0,1.5936772033691404,attn,NA
16,1024,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.0257928705215454,attn,NA
64,16384,4096,16,4,a100,108,54,7,6912,432,40,40,1555,0,1.523709539794922,attn,NA
128,4096,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,1.4225702392578126,attn,NA
32,8192,8192,32,8,a100,108,54,7,6912,432,40,40,1555,0,0.25376404342651365,attn,NA
64,8192,2048,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.17557022705078126,attn,NA
128,8192,16384,64,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,2048,4096,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.04845358066558837,attn,NA
4,16384,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.22253419570922853,attn,NA
8,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.22699811859130856,attn,NA
64,8192,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.9059133422851564,attn,NA
128,2048,1024,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.04020556812286376,attn,NA
64,16384,16384,32,2,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,4096,8192,16,1,a100,108,54,7,6912,432,40,40,1555,0,0.752349493408203,attn,NA
128,16384,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
32,8192,4096,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.23213455505371092,attn,NA
32,8192,4096,8,2,a100,108,54,7,6912,432,40,40,1555,0,0.4577143280029296,attn,NA
64,8192,8192,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5698471984863283,attn,NA
128,4096,2048,32,4,a100,108,54,7,6912,432,40,40,1555,0,0.12946856918334962,attn,NA
32,16384,16384,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,2048,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,0.13988469772338866,attn,NA
128,16384,8192,64,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,4096,16384,128,8,a100,108,54,7,6912,432,40,40,1555,0,0.5188210693359375,attn,NA
8,8192,4096,32,2,a100,108,54,7,6912,432,40,40,1555,0,0.09505187721252442,attn,NA
4,2048,16384,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.01408179192543029,attn,NA
64,16384,4096,128,1,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,8192,8192,32,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,8192,8192,128,4,a100,108,54,7,6912,432,40,40,1555,0,1.097659552001953,attn,NA
32,4096,2048,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.08492856254577638,attn,NA
128,8192,16384,16,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
64,1024,4096,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.04448276481628417,attn,NA
16,16384,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.35336396331787107,attn,NA
16,512,4096,128,4,a100,108,54,7,6912,432,40,40,1555,0,0.00279848959445953,attn,NA
64,16384,16384,32,4,a100,108,54,7,6912,432,40,40,1555,0,NA,attn,NA
128,4096,8192,64,8,a100,108,54,7,6912,432,40,40,1555,0,0.34224911041259765,attn,NA
32,8192,8192,64,2,a100,108,54,7,6912,432,40,40,1555,0,0.9333715423583986,attn,NA
